thumb,fing1,fing2,fing3,fing4
199.52944644838766,168.0773631397161,141.05672617780408,128.06248474865697,117.38824472663352
182.52944967867515,114.23659658795863,102.00490184299969,95.88013350011565,98.4733466477097
191.0026177831079,118.29623831720095,106.1178590059185,103.4456378974,109.40292500660117
212.43822631532208,139.51702405083043,128.00390619039717,121.6552506059644,123.8789731956154
227.2377609465469,145.46477236774544,132.6386067478093,124.31009613060397,128.4445405612866
229.78685776170926,146.15402833996743,132.83448347473634,126.19429464123962,127.75758294520134
228.46443924602357,151.34728276384746,137.11673858431726,130.06152390311286,133.52153384379613
226.4199637841151,152.31546211727817,138.6542462386205,130.01538370516005,135.34031180694095
228.72909740564273,151.16877984557524,137.7679207943562,129.0155029444136,133.88054376943649
227.3367546174617,142.66744548074027,131.93938001976514,123.01625908797584,128.06248474865697
225.84286572747877,146.23952953972466,136.0624856453828,125.03599481749245,130.0
226.80828909014767,147.58048651498612,138.24615727028365,127.03542812932147,132.43866504914644
229.2640399190418,147.59742545180114,137.27709204379295,128.03515142334936,133.88054376943649
234.54210709380095,146.37281168304446,134.6291201783626,124.06449935416659,129.0310040261642
233.32380932943812,144.53373308677806,136.0624856453828,126.03570922560003,132.90974381135493
237.2003372678884,145.89036979869508,135.34031180694095,126.03570922560003,131.70041761513136
239.14012628582432,145.98972566588375,135.85654198455074,125.14391715141412,128.86038956948718
239.87079855622275,146.48549416239138,134.892549831338,124.14507642270796,128.86038956948718
242.099153240981,148.35430563350698,136.6821129482567,124.25779653607253,128.4562182223967
240.68444071023785,144.06248644251562,131.60547101089682,122.2620137246234,126.69648771769484
240.9024698918631,148.00337833982033,135.72398461583714,127.1927670899568,130.41855696180662
240.14995315427402,147.14618581533128,136.01470508735443,126.3210196285638,130.41855696180662
242.85386552410483,149.21796138535066,138.32208789632983,128.191263352851,130.8166656049603
241.12444919584576,151.6047492659778,138.88484438555562,129.24782396620841,132.38202294873727
242.099153240981,149.093930124603,137.78606605894515,128.09761902549164,130.04999038831184
238.89956048515452,149.58609561052123,136.40014662748717,127.1416532848303,130.61393493804556
242.78591392418136,150.08331019803634,138.0507153186828,129.18978287774928,130.61393493804556
242.78591392418136,148.71785366928881,136.12494260788506,126.14277624977183,129.634100452003
240.60756430336932,150.95032295427526,137.3608386695422,127.1927670899568,130.8166656049603
237.69097584889502,151.64761785138597,139.21566003866087,130.06152390311286,134.8517704741024
238.41560351621283,158.35403373454054,143.58621103713267,134.09325113517085,138.97481786280562
239.38462774372127,160.58953888718904,145.7737973711325,135.1332675546625,138.51353724455961
240.11039127867832,161.01242188104618,146.99659860010368,137.23337786413333,140.03570973148243
239.63305281200255,165.4841382127,149.7230777134908,138.52075656738234,138.91724155050014
235.74774654278247,164.59647626847908,150.28306624500314,138.52075656738234,137.46272221951665
